"observation","specname","latitude","longitude","carp_color"
"50892",211504,"Craterellus cinereus (Pers. : Fr.) Donk",38.9678,-79.50465,0
"60682",201188,"Craterellus cinereus (Pers. : Fr.) Donk",37.0841,-122.0615,0
"1776",267741,"Craterellus cornucopioides (L.) Pers.",38.39445,-122.9405,0
"31932",231435,"Craterellus cornucopioides (L.) Pers.",42.0618,-124.233,0
"40129",221406,"Craterellus cornucopioides (L.) Pers.",38.5893,-123.3305,0
"62165",199155,"Craterellus cornucopioides (L.) Pers.",39.22925,-123.3835,0
"7006",259619,"Craterellus fallax A.H. Sm.",42.8341,-80.1493,0
"10293",256451,"Craterellus fallax A.H. Sm.",35.8725,-78.761,0
"11802",254885,"Craterellus fallax A.H. Sm.",35.8725,-78.761,0
"14024",253385,"Craterellus fallax A.H. Sm.",42.68205,-72.339,0
"14125",262554,"Craterellus fallax A.H. Sm.",45.5525,-84.7843,0
"14967",264574,"Craterellus fallax A.H. Sm.",38.9124,-78.1911,0
"15979",251475,"Craterellus fallax A.H. Sm.",46.81105,-90.82235,0
"16879",250067,"Craterellus fallax A.H. Sm.",30.95295,-91.521,0
"17336",249641,"Craterellus fallax A.H. Sm.",39.97345,-80.47225,0
"17451",249545,"Craterellus fallax A.H. Sm.",41.26365,-75.93575,0
"18199",249281,"Craterellus fallax A.H. Sm.",41.29215,-76.12625,0
"18610",248395,"Craterellus fallax A.H. Sm.",41.683,-74.04505,0
"19527",247042,"Craterellus fallax A.H. Sm.",43.182,-89.81405,0
"21170",245082,"Craterellus fallax A.H. Sm.",35.8725,-78.761,0
"23284",243060,"Craterellus fallax A.H. Sm.",40.3301,-74.8727,0
"24671",241254,"Craterellus fallax A.H. Sm.",38.01025,-78.45235,0
"45649",216323,"Craterellus fallax A.H. Sm.",35.8725,-78.761,0
"46139",215983,"Craterellus fallax A.H. Sm.",34.20355,-84.1306,0
"47877",214377,"Craterellus fallax A.H. Sm.",38.42695,-90.81345,0
"49975",238047,"Craterellus fallax A.H. Sm.",40.5448,-76.1249,0
"51486",210936,"Craterellus fallax A.H. Sm.",40.61955,-80.11575,0
"51863",222524,"Craterellus fallax A.H. Sm.",41.74045,-84.8425,0
"52378",210042,"Craterellus fallax A.H. Sm.",40.54,-80.1747,0
"52833",209956,"Craterellus fallax A.H. Sm.",41.25305,-76.04695,0
"53090",209522,"Craterellus fallax A.H. Sm.",42.44225,-76.49835,0
"53133",209478,"Craterellus fallax A.H. Sm.",41.03055,-80.02165,0
"53182",248400,"Craterellus fallax A.H. Sm.",41.683,-74.04505,0
"53488",209174,"Craterellus fallax A.H. Sm.",39.5194,-86.8007,0
"54108",244240,"Craterellus fallax A.H. Sm.",40.88395,-75.56135,0
"54227",208515,"Craterellus fallax A.H. Sm.",41.03055,-80.02165,0
"54302",208556,"Craterellus fallax A.H. Sm.",41.3124,-75.76585,0
"54468",208311,"Craterellus fallax A.H. Sm.",40.67455,-80.5413,0
"54474",208305,"Craterellus fallax A.H. Sm.",40.67455,-80.5413,0
"54547",208611,"Craterellus fallax A.H. Sm.",39.062,-76.7811,0
"55161",207710,"Craterellus fallax A.H. Sm.",42.70235,-76.75165,0
"55663",207888,"Craterellus fallax A.H. Sm.",41.3264,-75.90695,0
"56062",268568,"Craterellus fallax A.H. Sm.",33.97655,-83.73365,0
"56273",206574,"Craterellus fallax A.H. Sm.",42.78625,-80.198,0
"56876",206255,"Craterellus fallax A.H. Sm.",38.622,-90.6948,0
"51756",210859,"Craterellus foetidus A.H. Sm.",39.32605,-82.10325,0
"21174",264176,"Craterellus hesleri R.H. Petersen",40.19325,-82.99785,0
"10289",256455,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",35.8725,-78.761,0
"14309",265471,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",42.77485,-80.9823,0
"14395",252612,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",42.77485,-80.9823,0
"14884",264658,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",38.9124,-78.1911,0
"17111",251317,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",41.3264,-75.90695,0
"17957",248912,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",42.77485,-80.9823,0
"17992",248850,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",42.77485,-80.9823,0
"19772",246426,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",36.38335,-80.39555,0
"21033",245546,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",40.04345,-77.2615,0
"51875",213830,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",39.98185,-79.6144,0
"51986",210794,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",41.23335,-75.81305,0
"52125",210320,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",42.8341,-80.1493,0
"52213",210365,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",38.01025,-78.45235,0
"52620",209752,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",34.5969,-83.75755,0
"54913",208268,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",41.3264,-75.90695,0
"55228",207761,"Craterellus ignicolor (R.H. Petersen) Dahlman Danell & Spatafora",41.25305,-76.04695,0
"12098",265375,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"15534",251697,"Craterellus lutescens Fr. (Fr.)",43.10645,-80.2855,0
"15749",251246,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"19403",246918,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"45507",216434,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"46414",215801,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"49646",212389,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"49942",212156,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"52030",210472,"Craterellus lutescens Fr. (Fr.)",42.78625,-80.198,0
"1308",267917,"Craterellus neotubaeformis nom. prov.",38.57535,-123.313,0
"2870",265990,"Craterellus neotubaeformis nom. prov.",38.57535,-123.313,0
"3685",265158,"Craterellus neotubaeformis nom. prov.",38.57535,-123.313,0
"7282",261463,"Craterellus neotubaeformis nom. prov.",45.5099,-122.7185,0
"31825",230995,"Craterellus neotubaeformis nom. prov.",38.57535,-123.313,0
"31944",230696,"Craterellus neotubaeformis nom. prov.",39.2641,-123.733,0
"36348",225615,"Craterellus neotubaeformis nom. prov.",49.25145,-122.7585,0
"39083",222248,"Craterellus neotubaeformis nom. prov.",48.0075,-122.524,0
"62712",197266,"Craterellus neotubaeformis nom. prov.",39.3098,-123.791,0
"63948",196110,"Craterellus neotubaeformis nom. prov.",36.9694,-122.028,0
"64255",196862,"Craterellus neotubaeformis nom. prov.",38.57535,-123.313,0
"12103",265319,"Craterellus Pers.",42.78625,-80.198,0
"19766",246451,"Craterellus Pers.",36.38335,-80.39555,0
"23679",242607,"Craterellus Pers.",39.49485,-76.28565,0
"37654",224237,"Craterellus Pers.",30.5106,-95.0866,0
"46198",216766,"Craterellus Pers.",45.57675,-78.45745,0
"46415",215800,"Craterellus Pers.",42.78625,-80.198,0
"46416",215799,"Craterellus Pers.",42.78625,-80.198,0
"54422",208419,"Craterellus Pers.",40.3072,-79.5458,0
"19164",247710,"Craterellus subundulatus (Peck) Peck",38.71485,-90.48465,0
"19769",246443,"Craterellus subundulatus (Peck) Peck",36.38335,-80.39555,0
"52842",209925,"Craterellus subundulatus (Peck) Peck",40.60115,-80.00445,0
"55544",207368,"Craterellus subundulatus (Peck) Peck",42.70235,-76.75165,0
"6618",260284,"Craterellus tubaeformis (Bull.) Quél.",41.23335,-75.81305,0
"8882",258297,"Craterellus tubaeformis (Bull.) Quél.",45.5795,-123.951,0
"12099",265374,"Craterellus tubaeformis (Bull.) Quél.",42.78625,-80.198,0
"13530",263403,"Craterellus tubaeformis (Bull.) Quél.",45.40545,-78.88685,0
"14744",264814,"Craterellus tubaeformis (Bull.) Quél.",38.9124,-78.1911,0
"15823",251234,"Craterellus tubaeformis (Bull.) Quél.",42.14445,-74.64975,0
"37836",224959,"Craterellus tubaeformis (Bull.) Quél.",39.39125,-123.6865,0
"43736",217736,"Craterellus tubaeformis (Bull.) Quél.",44.1935,-87.52125,0
"43823",217568,"Craterellus tubaeformis (Bull.) Quél.",42.78625,-80.198,0
"45345",217416,"Craterellus tubaeformis (Bull.) Quél.",41.08445,-75.59165,0
"45499",216452,"Craterellus tubaeformis (Bull.) Quél.",42.0311,-78.67215,0
"46413",215802,"Craterellus tubaeformis (Bull.) Quél.",42.78625,-80.198,0
"49806",212597,"Craterellus tubaeformis (Bull.) Quél.",41.95735,-74.68795,0
"51158",211148,"Craterellus tubaeformis (Bull.) Quél.",42.8341,-80.1493,0
"53747",208942,"Craterellus tubaeformis (Bull.) Quél.",42.8341,-80.1493,0
"62665",197814,"Craterellus tubaeformis (Bull.) Quél.",45.98195,-123.927,0
"62841",197812,"Craterellus tubaeformis (Bull.) Quél.",45.98195,-123.927,0
"8881",258298,"Craterellus tubaeformis group",45.5795,-123.951,0
"30322",234708,"Craterium aureum Fuckel",37.025,-122.058,0
"29327",236040,"Craterium leucocephalum (Pers. ex J.F. Gmel.) Ditmar",37.025,-122.058,0
"65458",194824,"Craterium leucocephalum (Pers. ex J.F. Gmel.) Ditmar",37.7174,-122.494,0
"31261",231808,"Craterocolla cerasi (Schumach.) Bref.",45.645,-122.764,0
"31262",231807,"Craterocolla cerasi (Schumach.) Bref.",45.61515,-122.736,0
"59978",202624,"Craterocolla cerasi (Schumach.) Bref.",45.645,-122.764,0
"60187",202669,"Craterocolla cerasi (Schumach.) Bref.",45.645,-122.764,0
"60241",202348,"Craterocolla cerasi (Schumach.) Bref.",45.645,-122.764,0
"55626",207133,"Crepidotaceae (S. Imai) Singer",33.991,-83.4954,0
"3004",265801,"Crepidotus albidus Ellis & Everh.",41.99155,-87.76365,0
"15323",251848,"Crepidotus albidus Ellis & Everh.",41.99275,-87.76395,0
"14228",253030,"Crepidotus applanatus (Pers.) P. Kumm.",48.7969,-125.114,0
"18220",248887,"Crepidotus applanatus (Pers.) P. Kumm.",48.43865,-124.106,0
"18944",248249,"Crepidotus applanatus (Pers.) P. Kumm.",48.43775,-124.0795,0
"19496",249517,"Crepidotus applanatus (Pers.) P. Kumm.",38.5658,-90.6591,0
"19607",246673,"Crepidotus applanatus (Pers.) P. Kumm.",38.51885,-90.58135,0
"20115",246143,"Crepidotus applanatus (Pers.) P. Kumm.",42.70925,-72.23515,0
"20217",247570,"Crepidotus applanatus (Pers.) P. Kumm.",44.50425,-123.551,0
"20558",245734,"Crepidotus applanatus (Pers.) P. Kumm.",43.46935,-70.8018,0
"22375",243900,"Crepidotus applanatus (Pers.) P. Kumm.",44.3985,-87.81615,0
"23381",242951,"Crepidotus applanatus (Pers.) P. Kumm.",41.08175,-75.89205,0
"36863",225075,"Crepidotus applanatus (Pers.) P. Kumm.",48.1781,-122.6025,0
"37981",223569,"Crepidotus applanatus (Pers.) P. Kumm.",37.017,-122.0405,0
"42607",219011,"Crepidotus applanatus (Pers.) P. Kumm.",48.5215,-123.4155,0
"44406",247314,"Crepidotus applanatus (Pers.) P. Kumm.",35.60885,-82.32775,0
"47529",214748,"Crepidotus applanatus (Pers.) P. Kumm.",38.4879,-78.3261,0
"47584",214691,"Crepidotus applanatus (Pers.) P. Kumm.",38.4879,-78.3261,0
"47655",214618,"Crepidotus applanatus (Pers.) P. Kumm.",38.4879,-78.3261,0
"47751",214508,"Crepidotus applanatus (Pers.) P. Kumm.",38.4879,-78.3261,0
"47837",214422,"Crepidotus applanatus (Pers.) P. Kumm.",38.4879,-78.3261,0
"47989",252527,"Crepidotus applanatus (Pers.) P. Kumm.",39.6006,-77.82625,0
"48105",250530,"Crepidotus applanatus (Pers.) P. Kumm.",39.61875,-77.4669,0
"53388",209271,"Crepidotus applanatus (Pers.) P. Kumm.",35.8725,-78.761,0
"55274",207488,"Crepidotus applanatus (Pers.) P. Kumm.",39.3544,-86.3493,0
"56139",206706,"Crepidotus applanatus (Pers.) P. Kumm.",42.78625,-80.198,0
"56451",206799,"Crepidotus applanatus (Pers.) P. Kumm.",41.43815,-75.2766,0
"22398",243867,"Crepidotus cinnabarinus Peck",39.05555,-84.3349,0
"46557",215775,"Crepidotus cinnabarinus Peck",46.34895,-91.22495,0
"13999",263477,"Crepidotus crocophyllus (Berk.) Sacc.",45.5525,-84.7843,0
"17521",251818,"Crepidotus crocophyllus (Berk.) Sacc.",38.9849,-75.5417,0
"19815",246500,"Crepidotus crocophyllus (Berk.) Sacc.",41.28875,-76.3021,0
"23116",243214,"Crepidotus crocophyllus (Berk.) Sacc.",40.3294,-74.8807,0
"23734",242758,"Crepidotus crocophyllus (Berk.) Sacc.",41.1333,-74.96015,0
"25767",240255,"Crepidotus crocophyllus (Berk.) Sacc.",39.55255,-84.7339,0
"27191",238730,"Crepidotus crocophyllus (Berk.) Sacc.",40.0497,-82.8864,0
"44007",217358,"Crepidotus crocophyllus (Berk.) Sacc.",39.82265,-84.91805,0
"48140",214150,"Crepidotus crocophyllus (Berk.) Sacc.",40.70685,-80.6459,0
"53394",209265,"Crepidotus crocophyllus (Berk.) Sacc.",42.82125,-80.14945,0
"56785",206051,"Crepidotus crocophyllus (Berk.) Sacc.",40.67455,-80.5413,0
"61627",199318,"Crepidotus crocophyllus (Berk.) Sacc.",37.16705,-122.311,0
"63119",196824,"Crepidotus crocophyllus (Berk.) Sacc.",38.43045,-122.613,0
"31465",231525,"Crepidotus epibryus (Fr.) Quél.",34.18455,-118.771,0
"4453",263365,"Crepidotus (Fr.) Staude",44.4716,-88.0086,0
"4856",262834,"Crepidotus (Fr.) Staude",35.55575,-121.0935,0
"5759",261554,"Crepidotus (Fr.) Staude",37.3135,-122.064,0
"8880",258299,"Crepidotus (Fr.) Staude",45.5795,-123.951,0
"10117",256922,"Crepidotus (Fr.) Staude",42.26765,-83.0888,0
"10701",257408,"Crepidotus (Fr.) Staude",44.50425,-123.551,0
"12402",255006,"Crepidotus (Fr.) Staude",45.31175,-121.825,0
"12859",253780,"Crepidotus (Fr.) Staude",38.9709,-76.5058,0
"13804",252986,"Crepidotus (Fr.) Staude",45.4258,-122.551,0
"13997",263604,"Crepidotus (Fr.) Staude",45.5525,-84.7843,0
"17993",248849,"Crepidotus (Fr.) Staude",40.74465,-81.0899,0
"18010",248814,"Crepidotus (Fr.) Staude",40.67455,-80.5413,0
"20639",246173,"Crepidotus (Fr.) Staude",42.70925,-72.23515,0
"20738",245582,"Crepidotus (Fr.) Staude",42.6643,-80.5223,0
"22537",243756,"Crepidotus (Fr.) Staude",41.19745,-73.43545,0
"22538",243755,"Crepidotus (Fr.) Staude",41.19745,-73.43545,0
"22974",248187,"Crepidotus (Fr.) Staude",44.1413,-74.78185,0
"22977",248184,"Crepidotus (Fr.) Staude",44.1413,-74.78185,0
"22987",248174,"Crepidotus (Fr.) Staude",44.1413,-74.78185,0
"24884",240967,"Crepidotus (Fr.) Staude",40.87745,-76.505,0
"24920",240911,"Crepidotus (Fr.) Staude",42.82125,-80.14945,0
"26827",239113,"Crepidotus (Fr.) Staude",39.06145,-94.5995,0
"28834",236601,"Crepidotus (Fr.) Staude",35.1367,-89.83885,0
"29373",236488,"Crepidotus (Fr.) Staude",48.13015,-122.595,0
"32131",230363,"Crepidotus (Fr.) Staude",35.20015,-120.7295,0
"32747",229849,"Crepidotus (Fr.) Staude",37.29135,-122.1225,0
"37889",223878,"Crepidotus (Fr.) Staude",38.4416,-122.508,0
"39080",222264,"Crepidotus (Fr.) Staude",47.99795,-122.436,0
"45246",217026,"Crepidotus (Fr.) Staude",39.3544,-86.3493,0
"45279",216629,"Crepidotus (Fr.) Staude",46.15085,-67.6002,0
"45660",216308,"Crepidotus (Fr.) Staude",49.2562,-122.826,0
"46827",255137,"Crepidotus (Fr.) Staude",41.9912,-88.3163,0
"47867",214392,"Crepidotus (Fr.) Staude",42.8341,-80.1493,0
"48694",213491,"Crepidotus (Fr.) Staude",39.3544,-86.3493,0
"48851",213302,"Crepidotus (Fr.) Staude",42.8341,-80.1493,0
"49869",212226,"Crepidotus (Fr.) Staude",45.27975,-123.0565,0
"50932",211327,"Crepidotus (Fr.) Staude",44.26215,-87.6614,0
"55315",207430,"Crepidotus (Fr.) Staude",44.40585,-81.47235,0
"56154",206679,"Crepidotus (Fr.) Staude",41.99445,-87.76795,0
"56572",206304,"Crepidotus (Fr.) Staude",42.78625,-80.198,0
"56721",206168,"Crepidotus (Fr.) Staude",33.90245,-83.3843,0
"57298",205485,"Crepidotus (Fr.) Staude",33.991,-83.4954,0
"57480",205354,"Crepidotus (Fr.) Staude",33.991,-83.4954,0
"58267",212357,"Crepidotus (Fr.) Staude",36.8167,-94.30605,0
"60171",202832,"Crepidotus (Fr.) Staude",45.645,-122.764,0
"62778",197148,"Crepidotus (Fr.) Staude",36.9954,-122.043,0
"63810",196322,"Crepidotus (Fr.) Staude",37.2406,-122.0915,0
"56168",233686,"Crepidotus kauffmanii",45.4294,-73.94035,0
"5994",262096,"Crepidotus lundellii Pilát",48.5215,-123.4155,0
"6594",260656,"Crepidotus lundellii Pilát",48.5215,-123.4155,0
"19816",246499,"Crepidotus malachius Peck",41.28875,-76.3021,0
"5223",262221,"Crepidotus mollis group",38.3985,-122.8275,0
"31523",231433,"Crepidotus mollis group",45.7573,-122.879,0
"38001",223549,"Crepidotus mollis group",37.017,-122.0405,0
"58466",204319,"Crepidotus mollis group",42.06355,-87.7749,0
"59543",203118,"Crepidotus mollis group",33.991,-83.4954,0
"295",269673,"Crepidotus mollis (Schaeff.) Staude",38.0384,-122.802,0
"6919",259777,"Crepidotus mollis (Schaeff.) Staude",42.8341,-80.1493,0
"6941",259748,"Crepidotus mollis (Schaeff.) Staude",37.3135,-122.064,0
"7584",259410,"Crepidotus mollis (Schaeff.) Staude",37.9033,-122.255,0
"16248",250930,"Crepidotus mollis (Schaeff.) Staude",37.91715,-122.629,0
"24691",241226,"Crepidotus mollis (Schaeff.) Staude",42.82125,-80.14945,0
"25642",240397,"Crepidotus mollis (Schaeff.) Staude",38.01025,-78.45235,0
"25749",240528,"Crepidotus mollis (Schaeff.) Staude",40.54,-80.1747,0
"31353",231730,"Crepidotus mollis (Schaeff.) Staude",38.3973,-122.835,0
"34406",227636,"Crepidotus mollis (Schaeff.) Staude",37.87415,-122.2385,0
"36456",225526,"Crepidotus mollis (Schaeff.) Staude",38.57535,-123.313,0
"37117",224713,"Crepidotus mollis (Schaeff.) Staude",37.87825,-122.2365,0
"37555",224176,"Crepidotus mollis (Schaeff.) Staude",37.87095,-122.2685,0
"42493",218868,"Crepidotus mollis (Schaeff.) Staude",40.70685,-80.6459,0
"43518",217779,"Crepidotus mollis (Schaeff.) Staude",42.78625,-80.198,0
"56627",206261,"Crepidotus mollis (Schaeff.) Staude",42.78625,-80.198,0
"60249",202338,"Crepidotus mollis (Schaeff.) Staude",45.645,-122.764,0
"42769",224608,"Crepidotus nephrodes (Berk. & M.A. Curtis) Sacc.",38.0822,-87.9562,0
"42925",224480,"Crepidotus nephrodes (Berk. & M.A. Curtis) Sacc.",39.3544,-86.3493,0
"43063",224499,"Crepidotus nephrodes (Berk. & M.A. Curtis) Sacc.",39.20105,-86.5188,0
"48008",214849,"Crepidotus nephrodes (Berk. & M.A. Curtis) Sacc.",32.5184,-94.7606,0
"19992",246291,"Crepidotus nyssicola (Murrill) Singer",42.6643,-80.5223,0
"48643",228735,"Crepidotus stipitatus",41.3264,-75.90695,0
"39012",223013,"Crepidotus subverrucisporus Pilát",48.5215,-123.4155,0
"38520",223343,"Crepidotus versutus (Peck) Sacc.",46.99465,-123.005,0
"41846",220248,"Crepidotus versutus (Peck) Sacc.",41.13155,-76.627,0
"63924",196139,"Crepidotus vulgaris Hesler & A.H. Sm.",32.4909,-94.77845,0
"19613",246650,"Cribraria",38.51885,-90.58135,0
"55255",207534,"Cribraria",32.7401,-94.5184,0
"61502",199844,"Cribraria stellifera Nowotny et H. Neubert",36.9954,-122.043,0
"18622",248219,"Crinipellis Pat.",42.0762,-73.9507,0
"55746",207057,"Crinipellis Pat.",42.82125,-80.14945,0
"18509",248281,"Crinipellis piceae Singer",42.6812,-80.32955,0
"39898",227516,"Crinipellis piceae Singer",43.78645,-124.157,0
"55309",207445,"Crinipellis piceae Singer",42.7616,-80.394,0
"11258",255470,"Crinipellis zonata (Peck) Sacc.",43.10645,-80.2855,0
"13665",253409,"Crinipellis zonata (Peck) Sacc.",39.95965,-82.7884,0
"16915",250011,"Crinipellis zonata (Peck) Sacc.",43.10645,-80.2855,0
"19471",246809,"Crinipellis zonata (Peck) Sacc.",35.8725,-78.761,0
"48769",213409,"Crinipellis zonata (Peck) Sacc.",36.08515,-86.53465,0
"54334",208435,"Crinipellis zonata (Peck) Sacc.",39.3544,-86.3493,0
"57529",206060,"Crocicreas Fr. emend S.E. Carpenter",45.1483,-121.756,0
"26766",239125,"Cronartium quercuum (Berk.) Miyabe ex Shirai",39.7775,-74.5332,0
"3196",266425,"Crucibulum crucibuliforme (Scop.) V.S. White",38.4245,-120.642,0
"5731",263214,"Crucibulum crucibuliforme (Scop.) V.S. White",44.56315,-123.2835,0
"432",269465,"Crucibulum laeve (Huds.) Kambly",37.75725,-122.119,0
"4836",263010,"Crucibulum laeve (Huds.) Kambly",45.3069,-122.9585,0
"13963",252889,"Crucibulum laeve (Huds.) Kambly",44.00455,-88.1564,0
"15001",264540,"Crucibulum laeve (Huds.) Kambly",38.9124,-78.1911,0
"17998",248843,"Crucibulum laeve (Huds.) Kambly",40.74465,-81.0899,0
"19001",247711,"Crucibulum laeve (Huds.) Kambly",33.98445,-84.2499,0
"23246",243024,"Crucibulum laeve (Huds.) Kambly",35.79165,-78.69215,0
"25041",240763,"Crucibulum laeve (Huds.) Kambly",38.51885,-90.58135,0
"26726",240374,"Crucibulum laeve (Huds.) Kambly",39.87455,-80.43255,0
"38547",222972,"Crucibulum laeve (Huds.) Kambly",48.1781,-122.6025,0
"43883",228584,"Crucibulum laeve (Huds.) Kambly",40.57435,-74.4982,0
"44367",247412,"Crucibulum laeve (Huds.) Kambly",35.60885,-82.32775,0
"45862",216156,"Crucibulum laeve (Huds.) Kambly",45.7998,-77.13975,0
"52377",210045,"Crucibulum laeve (Huds.) Kambly",40.0699,-80.74625,0
"53291",209348,"Crucibulum laeve (Huds.) Kambly",38.87695,-77.019,0
"53690",209008,"Crucibulum laeve (Huds.) Kambly",37.83005,-90.2301,0
"54798",207967,"Crucibulum laeve (Huds.) Kambly",39.1282,-87.55925,0
"55069",236176,"Crucibulum laeve (Huds.) Kambly",41.28875,-76.3021,0
"55125",208011,"Crucibulum laeve (Huds.) Kambly",41.28875,-76.3021,0
"55240",207622,"Crucibulum laeve (Huds.) Kambly",42.70235,-76.75165,0
"55446",207247,"Crucibulum laeve (Huds.) Kambly",38.63815,-90.28455,0
"56019",206864,"Crucibulum laeve (Huds.) Kambly",41.3588,-80.103,0
"57433",207256,"Crucibulum laeve (Huds.) Kambly",39.03565,-90.9347,0
"63512",196634,"Crucibulum laeve (Huds.) Kambly",46.56095,-123.569,0
"62309",198408,"Cryphonectria (Sacc.) Sacc. & D. Sacc.",38.71485,-90.48465,0
"35992",226079,"Cryptomarasmius corbariensis (Roum.) T.S. Jenkinson & Desjardin",38.8504,-121.183,0
"36040",226297,"Cryptomarasmius corbariensis (Roum.) T.S. Jenkinson & Desjardin",38.85225,-121.1665,0
"36067",225917,"Cryptomarasmius corbariensis (Roum.) T.S. Jenkinson & Desjardin",36.9909,-122.065,0
"57",269944,"Cryptoporus volvatus (Peck) Shear",37.88145,-122.1815,0
"3617",266066,"Cryptoporus volvatus (Peck) Shear",39.20395,-121.044,0
"5498",263949,"Cryptoporus volvatus (Peck) Shear",37.73435,-122.2435,0
"5858",261154,"Cryptoporus volvatus (Peck) Shear",40.7156,-80.59575,0
"16340",250940,"Cryptoporus volvatus (Peck) Shear",36.73695,-118.966,0
"20105",246156,"Cryptoporus volvatus (Peck) Shear",42.49095,-71.8945,0
"22016",244813,"Cryptoporus volvatus (Peck) Shear",42.62105,-108.9285,0
"23705",247401,"Cryptoporus volvatus (Peck) Shear",35.7409,-105.861,0
"25122",241031,"Cryptoporus volvatus (Peck) Shear",40.7326,-80.35955,0
"26588",252901,"Cryptoporus volvatus (Peck) Shear",39.0471,-76.7935,0
"26879",239017,"Cryptoporus volvatus (Peck) Shear",41.26365,-75.93575,0
"27092",239444,"Cryptoporus volvatus (Peck) Shear",47.398,-121.0965,0
"27934",237684,"Cryptoporus volvatus (Peck) Shear",37.76685,-119.848,0
"28007",237619,"Cryptoporus volvatus (Peck) Shear",39.84065,-81.8675,0
"28436",237140,"Cryptoporus volvatus (Peck) Shear",32.8793,-117.236,0
"30543",234616,"Cryptoporus volvatus (Peck) Shear",48.06185,-122.51,0
"30803",233948,"Cryptoporus volvatus (Peck) Shear",37.7269,-122.479,0
"34214",227901,"Cryptoporus volvatus (Peck) Shear",33.61405,-117.425,0
"34643",228289,"Cryptoporus volvatus (Peck) Shear",37.04395,-122.0495,0
"36432",225532,"Cryptoporus volvatus (Peck) Shear",41.26365,-75.93575,0
"36595",225358,"Cryptoporus volvatus (Peck) Shear",37.07225,-122.07,0
"40079",224724,"Cryptoporus volvatus (Peck) Shear",38.57535,-123.313,0
"40086",223291,"Cryptoporus volvatus (Peck) Shear",38.57535,-123.313,0
"40094",223097,"Cryptoporus volvatus (Peck) Shear",38.57535,-123.313,0
"40138",221385,"Cryptoporus volvatus (Peck) Shear",38.58545,-123.3305,0
"42972",218835,"Cryptoporus volvatus (Peck) Shear",47.87315,-121.8015,0
"43000",218344,"Cryptoporus volvatus (Peck) Shear",36.51515,-121.946,0
"45602",217646,"Cryptoporus volvatus (Peck) Shear",37.60905,-122.4225,0
"56733",206135,"Cryptoporus volvatus (Peck) Shear",40.67455,-80.5413,0
"57147",205755,"Cryptoporus volvatus (Peck) Shear",41.28875,-76.3021,0
"58442",204391,"Cryptoporus volvatus (Peck) Shear",40.67455,-80.5413,0
"59216",203557,"Cryptoporus volvatus (Peck) Shear",47.5895,-120.6605,0
"59394",203823,"Cryptoporus volvatus (Peck) Shear",46.6065,-121.671,0
"60071",202762,"Cryptoporus volvatus (Peck) Shear",38.0248,-78.56945,0
"60997",200353,"Cryptoporus volvatus (Peck) Shear",37.2406,-122.0915,0
"65207",195158,"Cryptoporus volvatus (Peck) Shear",37.88145,-122.1815,0
"60798",201504,"Cryptothecia striata Thor",28.1471,-82.23425,0
"14667",252401,"Cudonia circinans (Pers.) Fr.",35.8121,-105.76,0
"43666",218448,"Cudonia circinans (Pers.) Fr.",48.07495,-123.973,0
"17745",249563,"Cudonia Fr.",37.8111,-107.906,0
"27473",238299,"Cudonia Fr.",48.04405,-122.465,0
"47201",220213,"Cudonia Fr.",35.80925,-105.769,0
"27507",239814,"Cudonia grisea Mains",42.73765,-123.4265,0
"27506",239815,"Cudonia monticola Mains",42.73765,-123.4265,0
"37737",239791,"Cudoniella clavus (Alb. & Schwein.) Dennis",42.6407,-122.687,0
"58089",206334,"Cudoniella clavus (Alb. & Schwein.) Dennis",48.5215,-123.4155,0
"14281",252690,"Cuphophyllus angustifolius (Murrill) Bon",43.10645,-80.2855,0
"15207",252026,"Cuphophyllus angustifolius (Murrill) Bon",43.10645,-80.2855,0
"15996",251181,"Cuphophyllus angustifolius (Murrill) Bon",46.81105,-90.82235,0
